"SR. NO
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
Long Term,,,,
1,4THDIM,Fourth Dimension Solutions Limited,INE382T01030,"LTASM - IV (16)
"
2,ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,"LTASM - I (13)
"
3,ADANIGREEN,Adani Green Energy Limited,INE364U01010,"LTASM - I (13)
"
4,ADANITRANS,Adani Transmission Limited,INE931S01010,"LTASM - I (13)
"
5,AGNI,Agni Green Power Limited,INE0LF301013,"LTASM - I (13)
"
6,APOLLO,Apollo Micro Systems Limited,INE713T01010,"LTASM - I (13)
"
7,ARCHIES,Archies Limited,INE731A01020,"LTASM - I (13)
"
8,ARENTERP,Rajdarshan Industries Limited,INE610C01014,"LTASM - I (13)
"
9,ARROWGREEN,Arrow Greentech Limited,INE570D01018,"LTASM - I (13)
"
10,ATGL,Adani Total Gas Limited,INE399L01023,"LTASM - I (13)
"
11,AXISCADES,AXISCADES Engineering Technologies Limited,INE555B01013,"LTASM - I (13)
"
12,AXISCADES,AXISCADES Technologies Limited,INE555B01013,"LTASM - I (13)
"
13,BRIGHT,Bright Solar Limited,INE684Z01010,"LTASM - I (13)
"
14,BRNL,Bharat Road Network Limited,INE727S01012,"LTASM - I (13)
"
15,BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020,"LTASM - IV (16)
"
16,CADSYS,Cadsys (India) Limited,INE090Y01013,"LTASM - I (13)
"
17,CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019,"LTASM - I (13)
"
18,CLOUD,Varanium Cloud Limited,INE0JOO01013,"LTASM - I (13)
"
19,CONTI,Continental Seeds and Chemicals Limited,INE340Z01019,"LTASM - I (13)
"
20,DRL,Dhanuka Realty Limited,INE704V01015,"LTASM - II (14)
"
21,DTIL,Dhunseri Tea & Industries Limited,INE341R01014,"LTASM - I (13)
"
22,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,INE0HPK01020,"LTASM - I (13)
"
23,FELDVR,Future Enterprises Limited,IN9623B01058,"LTASM - I (13)
"
24,FMNL,Future Market Networks Limited,INE360L01017,"LTASM - I (13)
"
25,GENCON,Generic Engineering Construction and Projects Limited,INE854S01022,"LTASM - I (13)
"
26,GOLDSTAR,Goldstar Power Limited,INE405Y01021,"LTASM - I (13)
"
27,GOLDTECH,Goldstone Technologies Limited,INE805A01014,"LTASM - I (13)
"
28,GRPLTD,GRP Limited,INE137I01015,"LTASM - I (13)
"
29,HEADSUP,Heads UP Ventures Limited,INE759V01019,"LTASM - I (13)
"
30,HIRECT,Hind Rectifiers Limited,INE835D01023,"LTASM - I (13)
"
31,HITECHGEAR,The Hi-Tech Gears Limited,INE127B01011,"LTASM - I (13)
"
32,INDSWFTLAB,Ind-Swift Laboratories Limited,INE915B01019,"LTASM - I (13)
"
33,INDSWFTLTD,Ind-Swift Limited,INE788B01028,"LTASM - I (13)
"
34,JWL,Jupiter Wagons Limited,INE209L01016,"LTASM - I (13)
"
35,KAMDHENU,Kamdhenu Limited,INE390H01012,"LTASM - I (13)
"
36,KKCL,Kewal Kiran Clothing Limited,INE401H01017,"LTASM - I (13)
"
37,KOHINOOR,Kohinoor Foods Limited,INE080B01012,"LTASM - I (13)
"
38,KORE,Jay Jalaram Technologies Limited,INE0J6801010,"LTASM - I (13)
"
39,KRISHIVAL,Empyrean Cashews Limited,INE0GGO01015,"LTASM - I (13)
"
40,KTKBANK,The Karnataka Bank Limited,INE614B01018,"LTASM - I (13)
"
41,LANCER,Lancer Container Lines Limited,INE359U01028,"LTASM - I (13)
"
42,LATTEYS,Latteys Industries Limited,INE262Z01023,"LTASM - II (14)
"
43,LGBFORGE,LGB Forge Limited,INE201J01017,"LTASM - I (13)
"
44,LPDC,Landmark Property Development Company Limited,INE197J01017,"LTASM - I (13)
"
45,MADHUCON,Madhucon Projects Limited,INE378D01032,"LTASM - I (13)
"
46,MAGNUM,Magnum Ventures Limited,INE387I01016,"LTASM - I (13)
"
47,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,INE843B01013,"LTASM - I (13)
"
48,MAKS,Maks Energy Solutions India Limited,INE0CDK01019,"LTASM - I (13)
"
