"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","GSM STAGE 
"
1,"ASIL","Amit Spinning Industries Limited","INE988A01026","GSM - VI (6)"
2,"ATLANTA","Atlanta  Limited","INE285H01022","GSM - II (2)"
3,"ATNINTER","ATN International Limited","INE803A01027","GSM - VI (6)"
4,"AUTORIDFIN","Autoriders Finance Limited","INE450A01019","GSM - VI (6)"
5,"BALLARPUR","Ballarpur Industries Limited","INE294A01037","IBC - Receipt & GSM 0 (62)"
6,"BKMINDST","Bkm Industries Limited","INE831Q01016","IBC - Receipt & GSM 0 (62)"
7,"BLUECHIP","Blue Chip India Limited","INE657B01025","GSM - IV (4)"
8,"BLUECOAST","Blue Coast Hotels Limited","INE472B01011","GSM - IV (4)"
9,"DCMFINSERV","DCM Financial Services Limited","INE891B01012","GSM - 0 (99)"
10,"DRCSYSTEMS","DRC Systems India Limited","INE03RS01027","GSM - II (2)"
11,"EDUCOMP","Educomp Solutions Limited","INE216H01027","IBC - Receipt & GSM 0 (62)"
12,"EQUIPPP","Equippp Social Impact Technologies Limited","INE217G01035","IBC - Receipt & GSM 0 (62)"
13,"EUROTEXIND","Eurotex Industries and Exports Limited","INE022C01012","GSM - III (3)"
14,"GAL","Gyscoal Alloys Limited","INE482J01021","GSM - 0 (99)"
15,"GANGOTRI","Gangotri Textiles Limited","INE670B01028","GSM - 0 (99)"
16,"GAYAHWS","Gayatri Highways Limited","INE287Z01012","GSM - 0 (99)"
17,"GFSTEELS","Grand Foundry Limited","INE534A01028","GSM - IV (4)"
18,"GISOLUTION","GI Engineering Solutions Limited","INE065J01016","GSM - IV (4)"
19,"GLFL","Gujarat Lease Financing Limited","INE540A01017","LTASM I & GSM 0 (50)"
20,"GOLDENTOBC","Golden Tobacco Limited","INE973A01010","IBC - Receipt & GSM 0 (62)"
21,"IL&FSTRANS","IL&FS Transportation Networks Limited","INE975G01012","GSM - 0 (99)"
22,"INDLMETER","IMP Powers Limited","INE065B01013","IBC - Receipt & GSM 0 (62)"
23,"INFOMEDIA","Infomedia Press Limited","INE669A01022","GSM - I (1)"
24,"INSPIRISYS","Inspirisys Solutions Limited","INE020G01017","LTASM I & GSM 0 (50)"
25,"JIKIND","JIK Industries Limited","INE026B01049","GSM - 0 (99)"
26,"KEEPLEARN","DSJ KEEP LEARNING LTD","INE055C01020","GSM - 0 (99)"
27,"KEERTI","Keerti Knowledge and Skills Limited","INE586X01012","GSM - IV (4)"
28,"KRIDHANINF","Kridhan Infra Limited","INE524L01026","GSM - 0 (99)"
29,"KSK","KSK Energy Ventures Limited","INE143H01015","GSM - 0 (99)"
30,"LAKPRE","Laxmi Precision Screws Limited","INE651C01018","IBC - Receipt & GSM 0 (62)"
31,"LYPSAGEMS","Lypsa Gems & Jewellery Limited","INE142K01011","GSM - 0 (99)"
32,"MELSTAR","Melstar Information Technologies Limited","INE817A01019","IBC - Receipt & GSM 0 (62)"
33,"METALFORGE","Metalyst Forgings Limited","INE425A01011","IBC - Receipt & GSM 0 (62)"
34,"METKORE","Metkore Alloys & Industries Limited","INE592I01029","GSM - 0 (99)"
35,"MITTAL","Mittal Life Style Limited","INE997Y01019","GSM - 0 (99)"
36,"NATNLSTEEL","National Steel And Agro Industries Limited","INE088B01015","IBC I & GSM 0 (58)"
37,"NEXTMEDIA","Next Mediaworks Limited","INE747B01016","GSM - 0 (99)"
38,"NKIND","NK Industries Limited","INE542C01019","GSM - 0 (99)"
39,"ORTEL","Ortel Communications Limited","INE849L01019","IBC I & GSM 0 (58)"
40,"PDPL","Parenteral Drugs (India) Limited","INE904D01019","GSM - II (2)"
41,"PENINLAND","Peninsula Land Limited","INE138A01028","GSM - 0 (99)"
42,"PREMIER","Premier Limited","INE342A01018","IBC - Receipt & GSM 0 (62)"
43,"QUINTEGRA","Quintegra Solutions Limited","INE033B01011","GSM - 0 (99)"
44,"RADAAN","Radaan Mediaworks India Limited","INE874F01027","GSM - III (3)"
45,"RAJVIR","Rajvir Industries Limited","INE011H01014","IBC - Receipt & GSM 0 (62)"
46,"RMCL","Radha Madhav Corporation Limited","INE172H01014","GSM - 0 (99)"
47,"S&SPOWER","S&S Power Switchgears Limited","INE902B01017","GSM - 0 (99)"
48,"SABEVENTS","Sab Events & Governance Now Media Limited","INE860T01019","GSM - 0 (99)"
49,"SABTN","Sri Adhikari Brothers Television Network Limited","INE416A01036","IBC - Receipt & GSM 0 (62)"
50,"SADBHIN","Sadbhav Infrastructure Project Limited","INE764L01010","High promoter/Non Promoter Encumbrance & GSM 0 (56)"
51,"SATHAISPAT","Sathavahana Ispat Limited","INE176C01016","IBC I & GSM 0 (58)"
52,"SETUINFRA","Setubandhan Infrastructure Limited","INE023M01027","IBC - Receipt & GSM 0 (62)"
53,"SHYAMTEL","Shyam Telecom Limited","INE635A01023","GSM - 0 (99)"
54,"SKIL","SKIL Infrastructure Limited","INE429F01012","GSM - 0 (99)"
55,"SPENTEX","Spentex Industries Limited","INE376C01020","IBC - Receipt & GSM 0 (62)"
56,"SPYL","Shekhawati Poly-Yarn Limited","INE268L01020","GSM - III (3)"
57,"STAMPEDE","Stampede Capital Limited","INE224E01028","GSM - IV (4)"
58,"TCIFINANCE","TCI Finance Limited","INE911B01018","GSM - 0 (99)"
59,"TIJARIA","Tijaria Polypipes Limited","INE440L01017","GSM - 0 (99)"
60,"TNTELE","Tamilnadu Telecommunication Limited","INE141D01018","GSM - 0 (99)"
61,"TVVISION","TV Vision Limited","INE871L01013","GSM - I (1)"
62,"UMESLTD","Usha Martin Education & Solutions Limited","INE240C01028","LTASM I & GSM 0 (50)"
63,"UNIVAFOODS","Univa Foods Limited","INE275F01019","GSM - IV (4)"
64,"VICEROY","Viceroy Hotels Limited","INE048C01017","IBC I & GSM 0 (58)"
65,"VISUINTL","Visu International Limited","INE965A01016","GSM - VI (6)"
66,"WSI","W S Industries (I) Limited","INE100D01014","GSM - IV (4)"
